Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Acetobacter peroxydans TNCSF 36,30,nmol of ethylene h–1 per culture(5 ml),30,nmol/tube/h,"Muthukumarasamy, R., Cleenwerck, I., Revathi, G., Vadivelu, M., Janssens, D., Hoste, B., ... & Caballero-Mellado, J. (2005). Natural association of Gluconacetobacter diazotrophicus and diazotrophic Acetobacter peroxydans with wetland rice. Systematic and applied microbiology, 28(3), 277-286."
Acetobacter peroxydans TNCSF 49,35,nmol of ethylene h–1 per culture(5 ml),35,nmol/tube/h,"Muthukumarasamy, R., Cleenwerck, I., Revathi, G., Vadivelu, M., Janssens, D., Hoste, B., ... & Caballero-Mellado, J. (2005). Natural association of Gluconacetobacter diazotrophicus and diazotrophic Acetobacter peroxydans with wetland rice. Systematic and applied microbiology, 28(3), 277-286."
Acetobacter sp.,220.26± 0.2,nmole/mg protein/hour,220.26,nmol/mg/h,"Laskar, F., Nevita, T., & Sharma, G. (2012). Isolation and identification of endophytes from different cultivars of rice (Oryza sativa L.) under wetland and upland conditions in South Assam. Journal of Pure and Applied Microbiology, 6(1), 357-362."
Acetobactor pasteurianus,1.53,u mole C2H4 h-1 mg-1,1530,nmol/mg/h,"Majeed, A., Abbasi, M. K., Hameed, S., Imran, A., & Rahim, N. (2015). Isolation and characterization of plant growth-promoting rhizobacteria from wheat rhizosphere and their effect on plant growth promotion. Frontiers in microbiology, 6, 198."
Achr. xyl. denitrificans 16/4,0.33 ± 0.13,"nmol C2H4, 107 cfu h–1",0.033,nmol/h/10*6cells,"Çakmakçı, R. (2016). Screening of multi-trait rhizobacteria for improving the growth, enzyme activities, and nutrient uptake of tea (Camellia sinensis). Communications in Soil Science and Plant Analysis, 47(13-14), 1680-1690."
Achromobacter agilis,56.3 ± 0.1,µmoles/C2H4h −1 mL−1,56300,nmol/mL/h,"Yadav, A., Boruah, J. L. H., Geed, S. R., Sharma, R. K., & Saikia, R. (2023). Occurrence, identification and characterization of diazotrophic bacteria from aerial roots of Rhynchostylis retusa (L.) Blume for plant growth-promoting activity. Archives of Microbiology, 205(4), 131."
Achromobacter insolitus strain DSM 23807,140,nmole C2H4 mg−1 protein h−1,140,nmol/mg/h,"Youseif, S. H. (2018). Genetic diversity of plant growth promoting rhizobacteria and their effects on the growth of maize plants under greenhouse conditions. Annals of Agricultural Sciences, 63(1), 25-35."
Achromobacter marplatensis,0,nmol C2H4 per culture h-1,0,nmol/tube/h,"RINCON-MOLINA, C. I., RINCON-MOLINA, F. A., Zenteno-Rojas, A., RUIZ-VALDIVIEZO, V. M., CULEBRO-RICALDI, J. M., & ROSALES, R. R. (2021). BACTERIAL DIVERSITY WITH PLANT GROWTH-PROMOTING POTENTIAL ISOLATED FROM Agave americana RHIZOSPHERE. Agro Productividad."
Achromobacter sp.,19.32,nmol C2H4 mg protein h−1,19.32,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Guo, D. J., Song, Q. Q., Yang, L. T., ... & Li, Y. R. (2020). Plant-PGPR interaction study of plant growth-promoting diazotrophs Kosakonia radicincitans BA1 and Stenotrophomonas maltophilia COA2 to enhance growth and stress-related gene expression in Saccharum spp. Journal of Plant Interactions, 15(1), 427-445."
Achromobacter sp.,26.34,nmol C2H4 mg protein h−1,26.34,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Guo, D. J., Song, Q. Q., Yang, L. T., ... & Li, Y. R. (2020). Plant-PGPR interaction study of plant growth-promoting diazotrophs Kosakonia radicincitans BA1 and Stenotrophomonas maltophilia COA2 to enhance growth and stress-related gene expression in Saccharum spp. Journal of Plant Interactions, 15(1), 427-445."
